english,polish,type,level
that,tak / aż tak,przysłówek,B1
the,ten / ta / to (przedimek określony),przedimek,A1
theatre,teatr,rzeczownik,A1
their,ich,określnik,A1
theirs,ich (zaimek dzierżawczy),zaimek,B1
them,ich / im / nimi,zaimek,A1
theme,motyw / temat,rzeczownik,B1
themselves,oni sami / się / siebie,zaimek,A2
then,wtedy / potem / następnie,przysłówek,A1
theory,teoria,rzeczownik,B1
therapy,terapia,rzeczownik,B2
there,tam,przysłówek,A1
therefore,dlatego / zatem,przysłówek,B1
they,oni / one,zaimek,A1
thick,gruby / gęsty,przymiotnik,A2
thief,złodziej,rzeczownik,A2
thin,cienki / chudy,przymiotnik,A2
thing,rzecz,rzeczownik,A1
think,myśleć / uważać,czasownik,A1
thinking,myślenie,rzeczownik,A2
third,trzeci,liczebnik,A1
third,jedna trzecia,rzeczownik,A2
thirsty,spragniony,przymiotnik,A1
thirteen,trzynaście,liczebnik,A1
thirty,trzydzieści,liczebnik,A1
this,ten / ta / to,określnik / zaimek,A1
this,tak / aż tak,przysłówek,B1
though,chociaż / jednak,spójnik / przysłówek,B1
thought,myśl,rzeczownik,A2
thousand,tysiąc,liczebnik,A1
threat,zagrożenie / groźba,rzeczownik,B2
threaten,zagrażać / grozić,czasownik,B2
three,trzy,liczebnik,A1
throat,gardło,rzeczownik,B1
through,przez / poprzez,przyimek,A1
through,na wylot / przez,przysłówek,A1
throughout,przez cały / wszędzie w,przyimek / przysłówek,B1
throw,rzucać,czasownik,A2
Thursday,czwartek,rzeczownik,A1
thus,zatem / tak więc,przysłówek,B2
ticket,bilet,rzeczownik,A1
tidy,schludny / porządny,przymiotnik,A2
tidy,sprzątać,czasownik,A2
tie,wiązać / przywiązywać,czasownik,A2
tie,krawat / więź / remis,rzeczownik,A2
tight,ciasny / obcisły,przymiotnik,B1
till,aż do / dopóki,spójnik / przyimek,B1
time,czas / raz,rzeczownik,A1
time,mierzyć czas / wyznaczać termin,czasownik,B2
tin,puszka / cyna,rzeczownik,B1
tiny,maleńki,przymiotnik,B1
tip,wskazówka / napiwek / czubek,rzeczownik,A2
tip,dawać napiwek / przechylać,czasownik,B1
tired,zmęczony,przymiotnik,A1
title,tytuł,rzeczownik,A1
title,tytułować,czasownik,B2
to,do / ku (również jako partyuła bezokolicznika),przyimek,A1
today,dzisiaj,przysłówek / rzeczownik,A1
toe,palec u nogi,rzeczownik,B1
together,razem,przysłówek,A1
toilet,toaleta,rzeczownik,A1
tomato,pomidor,rzeczownik,A1
tomorrow,jutro,przysłówek / rzeczownik,A1
tone,ton / dźwięk,rzeczownik,B2
tongue,język (organ),rzeczownik,B1
tonight,dziś wieczorem / dziś w nocy,przysłówek / rzeczownik,A1
too,też / również / zbyt,przysłówek,A1
tool,narzędzie,rzeczownik,A2
tooth,ząb,rzeczownik,A1
top,góra / szczyt,rzeczownik,A2
top,górny / najwyższy,przymiotnik,A2
topic,temat,rzeczownik,A1
total,całkowity / ogólny,przymiotnik,B1
total,suma / suma całkowita,rzeczownik,B1
totally,całkowicie / zupełnie,przysłówek,B1
touch,dotykać,czasownik,A2
touch,dotyk,rzeczownik,B1
tough,trudny / twardy / wytrzymały,przymiotnik,B2
tour,wycieczka / trasa / turniej,rzeczownik,A2
tour,zwiedzać / podróżować,czasownik,B1
tourism,turystyka,rzeczownik,A2
tourist,turysta / turystka,rzeczownik,A1
towards,w kierunku / wobec,przyimek,A2
towel,ręcznik,rzeczownik,A2
tower,wieża,rzeczownik,A2
town,miasto (mniejsze niż city),rzeczownik,A1
toy,zabawka,rzeczownik,A2
toy,zabawkowy,przymiotnik,A2
track,ścieżka / tor / utwór,rzeczownik,A2
track,śledzić / tropić,czasownik,B2
trade,handel / fach,rzeczownik,B1
trade,handlować / wymieniać,czasownik,B1
tradition,tradycja,rzeczownik,A2
traditional,tradycyjny,przymiotnik,A2
traffic,ruch uliczny,rzeczownik,A1
train,pociąg,rzeczownik,A1
train,trenować / szkolić,czasownik,A2
trainer,trener / but sportowy,rzeczownik,A2
training,trening / szkolenie,rzeczownik,A2
transfer,przelewać / przenosić,czasownik,B2
transfer,transfer / przelew / przeniesienie,rzeczownik,B2
transform,przekształcać / transformować,czasownik,B2
transition,przejście / przemiana,rzeczownik,B2
translate,tłumaczyć / przekładać,czasownik,B1
translation,tłumaczenie / przekład,rzeczownik,B1
transport,transport,rzeczownik,A2
transport,transportować,czasownik,B1
travel,podróżować,czasownik,A1
travel,podróż,rzeczownik,A1
traveller,podróżnik / podróżny,rzeczownik,A2
treat,traktować / leczyć / fundować,czasownik,B1
treatment,traktowanie / leczenie / kuracja,rzeczownik,B1
tree,drzewo,rzeczownik,A1
trend,trend / tendencja,rzeczownik,B1
trial,proces / próba / próba badawcza,rzeczownik,B2
trick,sztuczka / kawał / podstęp,rzeczownik,B1
trick,oszukiwać / zwodzić,czasownik,B1
trip,wycieczka / podróż,rzeczownik,A1
trip,potykać się,czasownik,B2
tropical,tropikalny,przymiotnik,B2
trouble,kłopot / problem / trudność,rzeczownik,A2
trouble,martwić / niepokoić,czasownik,B2
trousers,spodnie,rzeczownik,A1
truck,ciężarówka,rzeczownik,A2
true,prawdziwy / wierny,przymiotnik,A1
truly,naprawdę / szczerze,przysłówek,B2
trust,zaufanie,rzeczownik,B2
trust,ufać,czasownik,B2
truth,prawda,rzeczownik,B1
try,próbować / starać się,czasownik,A1
try,próba,rzeczownik,B2
T-shirt,t-shirt / koszulka,rzeczownik,A1
tube,rura / tubka / metro (Londyn),rzeczownik,B1
Tuesday,wtorek,rzeczownik,A1
tune,melodia / piosenka,rzeczownik,B2
tunnel,tunel,rzeczownik,B2
turn,obracać (się) / skręcać / zmieniać (się),czasownik,A1
turn,kolej / tura / obrót / zmiana,rzeczownik,A1
TV,telewizja / telewizor,rzeczownik,A1
twelve,dwanaście,liczebnik,A1
twenty,dwadzieścia,liczebnik,A1
twice,dwukrotnie / dwa razy,przysłówek,A1
twin,bliźniak / bliźniaczka,rzeczownik,A2
twin,bliźniaczy,przymiotnik,A2
two,dwa,liczebnik,A1
type,typ / rodzaj,rzeczownik,A1
type,pisać na klawiaturze,czasownik,B1
typical,typowy,przymiotnik,A2
typically,typowo / zazwyczaj,przysłówek,B1
tyre,opona,rzeczownik,B1
ugly,brzydki,przymiotnik,B1
ultimately,ostatecznie / w końcu,przysłówek,B2
umbrella,parasol,rzeczownik,A1
unable,niezdolny / nie będący w stanie,przymiotnik,B1
uncle,wujek,rzeczownik,A1
uncomfortable,niewygodny / skrępowany,przymiotnik,B1
unconscious,nieprzytomny / nieświadomy,przymiotnik,B2
under,pod / poniżej,przyimek,A1
under,pod / poniżej,przysłówek,A1
underground,podziemny,przymiotnik,A2
underground,pod ziemią,przysłówek,A2
understand,rozumieć,czasownik,A1
understanding,zrozumienie / wyrozumiałość,rzeczownik,A2
underwear,bielizna,rzeczownik,B1
unemployed,bezrobotny,przymiotnik,B1
unemployment,bezrobocie,rzeczownik,B1
unexpected,niespodziewany,przymiotnik,B2
unfair,niesprawiedliwy,przymiotnik,B1
unfortunately,niestety,przysłówek,A2
unhappy,nieszczęśliwy,przymiotnik,A2
uniform,mundur / uniform,rzeczownik,A2
union,związek / unia,rzeczownik,B1
unique,unikalny / wyjątkowy,przymiotnik,B2
unit,jednostka / dział,rzeczownik,A2
united,zjednoczony,przymiotnik,A2
universe,wszechświat,rzeczownik,B2
university,uniwersytet,rzeczownik,A1
unknown,nieznany,przymiotnik,B2
unless,chyba że / jeśli nie,spójnik,B1
unlike,w przeciwieństwie do / odmienny od,przyimek,B1
unlikely,mało prawdopodobny,przymiotnik,B1
unnecessary,niepotrzebny / zbędny,przymiotnik,B1
unpleasant,nieprzyjemny,przymiotnik,B1
until,aż do / dopóki,spójnik / przyimek,A1
unusual,niezwykły / niespotykany,przymiotnik,A2
up,w górę / na górze,przysłówek,A1
up,w górę (czegoś),przyimek,A1
update,aktualizować,czasownik,B1
update,aktualizacja,rzeczownik,B1
upon,na / nad (bardziej formalne on),przyimek,B1
upper,górny / wyższy,przymiotnik,B2
upset,zaniepokojony / zasmucony / zdenerwowany,przymiotnik,B1
upset,zasmucić / zdenerwować / psuć,czasownik,B1
upstairs,na górze / na piętrze,przysłówek,A1
upstairs,znajdujący się na piętrze,przymiotnik,A2
upwards,w górę,przysłówek,B2
urban,miejski,przymiotnik,B2
urge,naglić / ponaglać / zalecać,czasownik,B2
us,nas / nam / nami,zaimek,A1
use,używać / korzystać,czasownik,A1
use,użycie / zastosowanie,rzeczownik,A2
used,używany,przymiotnik,B1
used,zużyty,przymiotnik,B1
used to,mieć zwyczaj / dawniej (robic coś),czasownik modalny,A2
useful,użyteczny / przydatny,przymiotnik,A1
user,użytkownik,rzeczownik,A2
usual,zwykły / typowy,przymiotnik,A2
usually,zazwyczaj,przysłówek,A1
vacation,wakacje / urlop,rzeczownik,A1
valley,dolina,rzeczownik,A2
valuable,wartościowy / cenny,przymiotnik,B1
value,wartość,rzeczownik,B1
value,ceniać / wyceniać,czasownik,B2
van,furgonetka / van,rzeczownik,A2
variety,różnorodność / wybór / odmiana,rzeczownik,A2
various,różny / różnorodny,przymiotnik,B1
vary,różnić się / zmieniać się,czasownik,B2
vast,ogromny / rozległy,przymiotnik,B2
vegetable,warzywo,rzeczownik,A1
vehicle,pojazd,rzeczownik,A2
venue,miejsce (spotkania/imprezy),rzeczownik,B2
version,wersja,rzeczownik,B1
very,bardzo,przysłówek,A1
very,sam / ten konkretny,przymiotnik,B2
via,przez / za pośrednictwem,przyimek,B2
victim,ofiara,rzeczownik,B1
victory,zwycięstwo,rzeczownik,B2
video,wideo / film,rzeczownik,A1
view,widok / pogląd,rzeczownik,A2
view,oglądać / postrzegać,czasownik,B1
viewer,widz,rzeczownik,B1
village,wieś / wioska,rzeczownik,A1
violence,przemoc,rzeczownik,B2
violent,gwałtowny / agresywny,przymiotnik,B1
virtual,wirtualny,przymiotnik,B2
virus,wirus,rzeczownik,A2
vision,wzrok / wizja,rzeczownik,B2
visit,odwiedzać / zwiedzać,czasownik,A1
visit,wizyta / odwiedziny,rzeczownik,A1
visitor,gość / odwiedzający,rzeczownik,A1
visual,wizualny,przymiotnik,B2
vital,niezbędny / żywotny,przymiotnik,B2
vitamin,witamina,rzeczownik,B2
voice,głos,rzeczownik,A2
volume,objętość / głośność / tom,rzeczownik,B2
volunteer,wolontariusz,rzeczownik,B1
volunteer,zgłaszać się na ochotnika,czasownik,B1
vote,głos (w wyborach),rzeczownik,B1
vote,głosować,czasownik,B1
wage,płaca / dniówka,rzeczownik,B2
wait,czekać,czasownik,A1
wait,czekanie / postój,rzeczownik,A2
waiter,kelner,rzeczownik,A1
wake,budzić (się),czasownik,A1
walk,spacerować / iść pieszo,czasownik,A1
walk,spacer / przechadzka,rzeczownik,A1
wall,ściana / mur,rzeczownik,A1
want,chcieć,czasownik,A1
war,wojna,rzeczownik,A2
warm,ciepły,przymiotnik,A1
warm,ogrzewać (się),czasownik,B1
warn,ostrzegać,czasownik,B1
warning,ostrzeżenie,rzeczownik,B1
wash,myć / prać,czasownik,A1
wash,mycie / pranie,rzeczownik,A2
washing,pranie / mycie,rzeczownik,A2
waste,marnotrawstwo / odpady,rzeczownik,B1
waste,marnować,czasownik,B1
waste,zbędny / odpadowy,przymiotnik,B1
watch,oglądać / obserwować / czuwać,czasownik,A1
watch,zegarek / obserwacja,rzeczownik,A1
water,woda,rzeczownik,A1
water,podlewać,czasownik,B1
wave,fala / machanie,rzeczownik,A2
wave,machać,czasownik,B1
way,droga / sposób,rzeczownik,A1
way,daleko,przysłówek,B2
we,my,zaimek,A1
weak,słaby,przymiotnik,A2
weakness,słabość,rzeczownik,B2
wealth,bogactwo / majątek,rzeczownik,B2
wealthy,bogaty / zamożny,przymiotnik,B2
weapon,broń,rzeczownik,B1
wear,nosić / mieć na sobie,czasownik,A1
weather,pogoda,rzeczownik,A1
web,sieć / pajęczyna,rzeczownik,A2
website,strona internetowa,rzeczownik,A1
wedding,ślub / wesele,rzeczownik,A2
Wednesday,środa,rzeczownik,A1
week,tydzień,rzeczownik,A1
weekend,weekend,rzeczownik,A1
weigh,ważyć,czasownik,B1
weight,waga / ciężar,rzeczownik,A2
welcome,witać,czasownik,A1
welcome,witaj / mile widziany,wykrzyknik / przymiotnik,A1
welcome,powitanie,rzeczownik,A2
well,dobrze,przysłówek,A1
well,zdrowy / dobry,przymiotnik,A1
well,no cóż / cóż,wykrzyknik,A1
west,zachód,rzeczownik,A1
west,zachodni,przymiotnik,A1
west,na zachód,przysłówek,A1
western,zachodni (np. film lub z regionu),przymiotnik,B1
wet,mokry / wilgotny,przymiotnik,A2
what,co / jaki,zaimek / określnik,A1
whatever,cokolwiek / jakikolwiek,zaimek / określnik,B1
wheel,koło,rzeczownik,A2
when,kiedy / gdy,przysłówek / zaimek / spójnik,A1
whenever,kiedykolwiek / ilekroć,spójnik,B1
whereas,podczas gdy / natomiast,spójnik,B2
wherever,gdziekolwiek,spójnik,B2
where,gdzie,przysłówek / spójnik,A1
whether,czy,spójnik,B1
which,który,zaimek / określnik,A1
while,podczas gdy / chociaż,spójnik,A2
while,chwila,rzeczownik,B1
whisper,szeptać,czasownik,B2
whisper,szept,rzeczownik,B2
white,biały,przymiotnik,A1
white,biel,rzeczownik,A1
who,kto,zaimek,A1
whole,cały,przymiotnik,A2
whole,całość,rzeczownik,B1
whom,kogo / kogo (bardziej formalne),zaimek,B2
whose,czyj,zaimek / określnik,A2
why,dlaczego,przysłówek,A1
wide,szeroki,przymiotnik,A2
widely,szeroko / powszechnie,przysłówek,B2
wife,żona,rzeczownik,A1
wild,dziki,przymiotnik,A2
wildlife,dzika przyroda,rzeczownik,B2
will,będzie (operator czasu przyszłego),czasownik modalny,A1
will,wola / testament,rzeczownik,B1
willing,chętny / skłonny,przymiotnik,B2
win,wygrywać,czasownik,A1
win,zwycięstwo / wygrana,rzeczownik,B1
wind (air),wiatr,rzeczownik,A2
wind (turn),nakręcać / owijać,czasownik,B2
window,okno,rzeczownik,A1
wine,wino,rzeczownik,A1
wing,skrzydło,rzeczownik,B1
winner,zwycięzca / zwyciężczyni,rzeczownik,A2
winter,zima,rzeczownik,A1
wire,drut / przewód,rzeczownik,B2
wise,mądry / rozsądny,przymiotnik,B2
wish,życzyć (sobie) / pragnąć,czasownik,A2
wish,życzenie / pragnienie,rzeczownik,A2
with,z,przyimek,A1
within,wewnątrz / w obrębie,przyimek,B1
without,bez,przyimek,A1
witness,świadek,rzeczownik,B2
witness,być świadkiem,czasownik,B2
woman,kobieta,rzeczownik,A1
wonder,zastanawiać się / dziwić się,czasownik,B1
wonder,cud / zdumienie,rzeczownik,B1
wonderful,cudowny / wspaniały,przymiotnik,A1
wood,drewno / las,rzeczownik,A2
wooden,drewniany,przymiotnik,A2
wool,wełna,rzeczownik,B1
word,słowo / wyraz,rzeczownik,A1
work,pracować / działać,czasownik,A1
work,praca / dzieło,rzeczownik,A1
worker,pracownik,rzeczownik,A1
working,pracujący / roboczy,przymiotnik,A2
world,świat,rzeczownik,A1
worldwide,na całym świecie / światowy,przymiotnik / przysłówek,B1
worried,zmartwiony,przymiotnik,A2
worry,martwić się,czasownik,A2
worry,zmartwienie,rzeczownik,B1
worse,gorszy,przymiotnik,A2
worse,gorzej,przysłówek,B1
worse,coś gorszego,rzeczownik,B2
worst,najgorszy,przymiotnik,A2
worst,najgorzej,przysłówek,B1
worst,najgorsze,rzeczownik,B2
worth,wart / godny,przymiotnik,B1
worth,wartość,rzeczownik,B2
would,byłby / chciałby (operator trybu przypuszczającego),czasownik modalny,A1
wound,rana,rzeczownik,B2
wound,ranić,czasownik,B2
wow,łał / o rany,wykrzyknik,A2
wrap,owijać / pakować,czasownik,B2
write,pisać,czasownik,A1
writer,pisarz / pisarka,rzeczownik,A1
writing,pisanie / pismo,rzeczownik,A1
written,pisemny / napisany,przymiotnik,B1
wrong,zły / błędny / nieprawidłowy,przymiotnik,A1
wrong,źle / nieprawidłowo,przysłówek,B1
wrong,krzywda / zło,rzeczownik,B2
yard,podwórze / jard (jednostka),rzeczownik,B1
yeah,tak,wykrzyknik,A1
year,rok,rzeczownik,A1
yellow,żółty,przymiotnik,A1
yellow,kolor żółty,rzeczownik,A1
yes,tak,wykrzyknik,A1
yesterday,wczoraj,przysłówek / rzeczownik,A1
yet,jeszcze / już (w pytaniach),przysłówek,A2
yet,mimo to / jednak,spójnik,B2
you,ty / wy / pan / pani,zaimek,A1
young,młody,przymiotnik,A1
young,młodzi ludzie,rzeczownik,B1
your,twój / wasz,określnik,A1
yours,twój / wasz (zaimek dzierżawczy),zaimek,A2
yourself,ty sam / się / siebie,zaimek,A1
youth,młodość / młodzież,rzeczownik,B1
zero,zero,liczebnik,A2
zone,strefa / obszar,rzeczownik,B2
